artist_name,wiki_nationality,wiki_artist_start_date
"BUBA ESPINHO, BÁRBARA TINOCO",Unknown,
Jimin,South Korea,2013-01-01
BEYONCÉ FEAT. JAY-Z,Unknown,
"NENA, JOANA ALMEIRANTE",Unknown,
Gracie Abrams,United States,2019-01-01
Gims,Democratic Republic of the Congo,2002-01-01
MARISA LIZ,Portugal,1982-01-01
"Calvin Harris, Rihanna",Unknown,
Justin Bieber,Canada,2007-01-01
"POST MALONE, MORGEN WALLEN",Unknown,
AMY WADGE,United Kingdom,1992-01-01
Jorge Cruz,United States,
Tatiana Duarte,Unknown,
MIZZY MILES feat. IVANDRO & PIRUKA,Unknown,
Mariza,Portugal,1997-01-01
Olivia Dean,United Kingdom,2017-01-01
"Bia Caboz, Piruka",Unknown,
VITOR KLEY,Brazil,2009-01-01
CHRISTINA AGUILERA,United States,1988-01-01
Eddie Vedder,United States,1979-01-01
Mitski,United States,2012-01-01
NENNY,Portugal,2019-01-01
"",Unknown,
Usher,Unknown,
Norah Jones,United States,2001-01-01
NUNO RIBEIRO FT. CONAN OSIRIS,Unknown,
Anastacia,United States,1990-01-01
Teddy Swims,United States,2011-01-01
PITBULL [+] CHRISTINA AGUILERA,Unknown,
LOST FREQUENCIES feat. JANIECK DEVY,Unknown,
U2,Unknown,1976-01-01
D.A.M.A,Unknown,2008-01-01
KYGO & PARSON JAMES,United States,1991-06-07
"HMB, Carminho",Portugal,2003-01-01
POST MALONE & SWAE LEE,Unknown,
Diana Lima,Unknown,
"Gwen Stefani, Akon",Unknown,
Keane,Unknown,
Pitbull,United States,2001-01-01
MC Davi,United States,1998-04-29
MANUEL TURIZO,Colombia,2016-01-01
Bárbara Tinoco,Portugal,1998-11-16
DENNIS x MC KEVIN O CHRIS,Unknown,
TAYLOR SWIFT,United States,2003-01-01
DEAN LEWIS,Australia,2016-01-01
Sia,Australia,1993-01-01
ISRAEL KAMAKAWIWOOLE,United States,1976-01-01
ANA LAURA LOPES,Unknown,1963-01-01
TRAIN,Unknown,
"Miley Cyrus, Beyoncé",United States,2001-01-01
ELLIE GOULDING,United Kingdom,2009-01-01
Madredeus,Unknown,1985-01-01
RAUW ALEJANDRO,United States,2014-01-01
Myles Smith,United Kingdom,1998-06-03
POST MALONE FT. 21 SAVAGE,Unknown,
JOHN LEGEND,United States,2000-01-01
CYRIL,Unknown,
"Bluay, Irina Barros",Unknown,
Lana Del Rey,United States,2005-01-01
EMINEM,United States,1988-01-01
"The Weeknd, Daft Punk",Unknown,1993-01-01
"Zayn, Sia",Unknown,
"Timbaland, OneRepublic",Unknown,
"MR. PROBZ, ROBIN SCHULZ",Unknown,
THE WEEKND,Canada,2009-01-01
miguel luz,Unknown,
Iñigo Quintero,Spain,2001-12-12
Calvin Harris,United Kingdom,2002-01-01
MITSKI,United States,2012-01-01
"Maninho, Marisa Liz",Unknown,
"Coldplay, BTS",Unknown,
FERNANDO DANIEL,Portugal,2014-01-01
LADY GAGA FT. BRADLEY COOPER,Unknown,
Carminho,Portugal,2003-01-01
Domingues,Portugal,2006-01-01
Lizzo,United States,2011-01-01
Swedish House Mafia,Unknown,2007-01-01
TOPIC FT. A7S,Sweden,1994-05-03
Miguel,Unknown,
DAVID KUSHNER,Unknown,
Lauren Spencer-Smith,Canada,2019-01-01
YEARS & YEARS,Unknown,2010-01-01
PASSENGER,Unknown,
FLOYYMENOR feat. CRIS MJ,Unknown,
Amor Electro,Unknown,2010-01-01
Olivia Rodrigo,United States,2015-01-01
PATTI LABELLE [+] MICHAEL MCDONALD,Unknown,
StaySolidRocky ,United States,2001-08-06
CHRIS DE BURGH,Ireland,1974-01-01
branko,Unknown,
Sara Bareilles,United States,2002-01-01
JAMES BLUNT,United Kingdom,2003-01-01
"Ed Sheeran, Taylor Swift",Unknown,
TETO,Unknown,
"Metro Boomin, The Weeknd, 21 Savage",Unknown,
Nenny,Portugal,2019-01-01
TIMBALAND [+] ONEREPUBLIC,United States,1990-01-01
"Kygo, Conrad",Norway,2009-01-01
NININHO VAZ MAIA,Portugal,1988-02-25
"ROSÉ, BRUNO MARS",Unknown,
FEID & REMA,Colombia,2010-01-01
ARIANA GRANDE,United States,2008-01-01
"Sia, Diplo, The Weeknd",Unknown,
ARIANA GRANDE [+] ZEDD,Unknown,
