track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres
greedy,Tate McRae,greedy,2023-09-15,131872,86,pop
Glimpse of Us,Joji,Glimpse of Us,2022-06-10,233456,77,viral pop
Mask Off,Future,FUTURE,2017-06-30,204600,81,atl hip hop
I'll Be Waiting,Cian Ducrot,Victory,2023-08-04,172547,66,irish pop
THE BLOWERS DAUGHTER,DAMIEN RICE,O,2003-06-03,286653,49,acoustic pop
You Found Me,The Fray,The Fray,2009-02-02,241853,74,neo mellow
What I've Done,Linkin Park,Minutes to Midnight,2007-05-14,205226,81,alternative metal
MOVE,ADAM PORT,Move,2024-06-07,177598,87,melodic house
"SHAKIRA: BZRP MUSIC SESSIONS, VOL. 53",BIZARRAP & SHAKIRA,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,214945,77,argentine hip hop
Levitating,Dua Lipa,Future Nostalgia,2020-03-27,203064,78,dance pop
Flowers,Miley Cyrus,Endless Summer Vacation,2023-08-18,200600,87,pop
"Yes, And?",Ariana Grande,eternal sunshine,2024-03-08,214994,76,pop
Shivers,Ed Sheeran,=,2021-10-25,207853,82,pop
YOUR SONG,ELTON JOHN,Elton John,1970-04-10,241786,79,glam rock
BUSSOLA,NENNY,Aura,2020-03-02,272577,37,hip hop tuga
HERE WITHOUT YOU,3 DOORS DOWN,Away From The Sun,2002-11-12,238733,75,alternative metal
ALL OF THE GIRLS YOU LOVED BEFORE,TAYLOR SWIFT,All Of The Girls You Loved Before,2019-08-23,221407,73,pop
GET HIM BACK!,OLIVIA RODRIGO,GUTS,2023-09-08,211141,76,pop
JUST CANT GET ENOUGH,BLACK EYED PEAS,The Beginning,2010-01-01,219426,76,dance pop
Don't Start Now,Dua Lipa,Future Nostalgia,2020-03-27,183290,82,dance pop
ONLY YOU,FLYING PICKETS,Lost Boys,1984-01-01,203333,49,classic uk pop
Seven,Jung Kook,GOLDEN,2023-11-03,183550,85,k-pop
"YES, AND?",ARIANA GRANDE,eternal sunshine,2024-03-08,214994,76,pop
Who,Jimin,MUSE,2024-07-19,170887,92,k-pop
TODO DE TI,RAUW ALEJANDRO,VICE VERSA,2021-12-10,199604,79,puerto rican pop
Love The Hell Out Of You,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,2023-05-19,205080,69,pop
MUSK,FINGERTIPS,Musk,2024-10-25,215000,33,portuguese rock
Skyfall,Adele,Skyfall,2012-10-04,286480,84,british soul
Morena,Luan Santana,MORENA,2021-06-17,193221,61,arrocha
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,2003-12-02,228706,82,neo soul
MR.SAXOBEAT,ALEXANDRA STAN,Saxobeats,2011-10-25,195105,63,romanian pop
LUCID DREAMS,JUICE WRLD,Goodbye & Good Riddance,2018-12-10,239835,81,chicago rap
She Will Be Loved,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002-01-01,259453,80,pop
Alibi,Sevdaliza,Alibi (with Pabllo Vittar & Yseult),2024-06-28,161655,68,alternative r&b
