track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature
NÃO TE ODEIO,DIOGO PIÇARRA,SNTMNTL,2024-03-01,134960,37,portuguese pop,0.565,0.549,0.531,0.187,0.0,0.426,0.0387,149.079,1,-5.7,4
Don't Worry,"Madcon, Ray Dalton",Don't Worry (feat. Ray Dalton),2015-07-30,214789,52,norwegian hip hop,0.811,0.699,0.733,0.0726,1.38e-6,0.148,0.114,122.987,1,-5.211,4
Mad World,"Gary Jules, Michael Andrews",Trading Snakeoil for Wolftickets,2001-01-01,189506,65,neo mellow,0.344,0.0585,0.323,0.976,0.000362,0.103,0.0373,174.149,1,-17.212,4
Seya,Gims ,Seya,2023-10-06,188484,73,"",0.798,0.681,0.434,0.219,0.00197,0.137,0.0722,101.005,0,-4.818,4
We Don't Talk Anymore,"Charlie Puth, Selena Gomez",Nine Track Mind (Special Edition),2015-11-05,217706,81,pop,0.728,0.563,0.352,0.621,0.0,0.179,0.134,100.017,0,-8.053,4
WITH YOU,CHRIS BROWN,Exclusive (Expanded Edition),2007-11-06,252120,74,r&b,0.662,0.693,0.655,0.134,0.0,0.145,0.0698,86.009,1,-4.298,4
MOVE,ADAM PORT,Move,2024-06-07,177598,87,melodic house,0.727,0.782,0.655,0.0563,0.336,0.225,0.042,119.992,0,-8.529,4
Dilemma,"Nelly, Kelly Rowland",Nellyville,2002-06-25,289160,77,dance pop,0.727,0.552,0.607,0.226,0.00016,0.198,0.14,168.19,0,-8.074,4
Everybody's Changing,Keane,Hopes And Fears,2004-01-01,215160,64,neo mellow,0.517,0.832,0.45,0.0015,0.000208,0.101,0.0292,94.02,1,-3.564,4
Left outside Alone,Anastacia,Anastacia,2004-01-01,257426,62,pop soul,0.663,0.746,0.325,0.0697,0.0,0.0929,0.0321,102.847,0,-3.567,4
LATE NIGHT TALKING,HARRY STYLES,Harry's House,2022-05-20,177954,77,pop,0.714,0.728,0.901,0.298,0.0,0.106,0.0468,114.996,1,-4.595,4
Maria Joana,"Nuno Ribeiro, Mariza, Calema",Maria Joana,2023-04-14,227807,55,portuguese pop,0.489,0.807,0.464,0.15,0.0,0.436,0.0712,93.417,0,-7.75,4
Stuck,Thirty Seconds to Mars,It’s The End Of The World But It’s A Beautiful Day,2023-09-15,182746,58,modern rock,0.62,0.756,0.507,0.0427,3.42e-6,0.426,0.0557,123.067,0,-5.326,4
DJ GOT US FALLIN IN LOVE,USHER feat. PITBULL,Raymond v Raymond (Expanded Edition),2010-03-30,220800,81,atl hip hop,0.663,0.861,0.654,0.0338,0.0,0.082,0.109,119.963,0,-3.398,4
What Was I Made For?,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,222369,85,art pop,0.391,0.084,0.111,0.953,0.0,0.0983,0.0317,79.449,1,-17.843,4
