radio,day,time_played,track_title,artist_name
Rádio Comercial,2024-10-27,07:18:00.000000000,Nunca Mais Vou Lá Estar,"Miguel Carmona, Rita Rocha"
Rádio Comercial,2024-10-27,07:15:00.000000000,Houdini,Eminem
Rádio Comercial,2024-10-27,07:10:00.000000000,Hey there Delilah,Plain White T's
Rádio Comercial,2024-10-27,07:08:00.000000000,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,07:05:00.000000000,Thinking Out Loud,Ed Sheeran
Rádio Comercial,2024-10-27,07:02:00.000000000,Belong Together,Mark Ambor
Rádio Comercial,2024-10-27,06:58:00.000000000,Home,Daughtry
Rádio Comercial,2024-10-27,06:53:00.000000000,"Olá, Solidão",Os Quatro e Meia
Rádio Comercial,2024-10-27,06:49:00.000000000,feelslikeimfallinginlove,Coldplay
Rádio Comercial,2024-10-27,06:46:00.000000000,A Coisa Vai Andando,Beatriz Caixinha
Rádio Comercial,2024-10-27,06:43:00.000000000,Human,Rag'n'Bone Man
Rádio Comercial,2024-10-27,06:40:00.000000000,Noite,"Ivandro, Vitor Kley"
Rádio Comercial,2024-10-27,06:36:00.000000000,Summer Jam,The Underdog Project
Rádio Comercial,2024-10-27,06:31:00.000000000,Can't Even Hate You,Cian Ducrot
Rádio Comercial,2024-10-27,06:29:00.000000000,Sorte A Nossa,Catarina Filipe
Rádio Comercial,2024-10-27,06:25:00.000000000,Bad Liar,Imagine Dragons
Rádio Comercial,2024-10-27,06:23:00.000000000,Austin,Dasha
Rádio Comercial,2024-10-27,06:20:00.000000000,Antes Dela Dizer que Sim,Bárbara Tinoco
Rádio Comercial,2024-10-27,06:16:00.000000000,Love Me Like You Do,Ellie Goulding
Rádio Comercial,2024-10-27,06:14:00.000000000,Cover Me in Sunshine,"Pink, Willow Sage Hart"
Rádio Comercial,2024-10-27,06:10:00.000000000,Casa,"D.A.M.A., Buba Espinho"
Rádio Comercial,2024-10-27,06:05:00.000000000,Love the Way You Lie (Part II),"Rihanna, Eminem"
Rádio Comercial,2024-10-27,06:02:00.000000000,Si Antes Te Hubiera Conocido,Karol G
Rádio Comercial,2024-10-27,05:59:00.000000000,Moth to a Flame,"Swedish House Mafia, The Weeknd"
Rádio Comercial,2024-10-27,05:56:00.000000000,Safe Inside,James Arthur
Rádio Comercial,2024-10-27,05:52:00.000000000,Saudade,"Miguel Araújo, Os Quatro e Meia"
Rádio Comercial,2024-10-27,05:49:00.000000000,Love The Hell Out Of You,Lewis Capaldi
