radio,day,time_played,track_title,artist_name
Rádio Comercial,2024-10-26,,My Universe,"Coldplay, Bts"
Rádio Comercial,2024-10-26,,In The End,Linkin Park
Rádio Comercial,2024-10-26,,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-26,,Lucky,Halsey
Rádio Comercial,2024-10-26,,Let Her Go,Passenger [Uk]
Rádio Comercial,2024-10-26,,Dancing In The Flames,The Weeknd
Rádio Comercial,2024-10-26,,Os Croquetes Acabam,Nena [Pt]
Rádio Comercial,2024-10-26,,Grenade,Bruno Mars
Rádio Comercial,2024-10-26,,Stick Season,Noah Kahan
Rádio Comercial,2024-10-26,,A Nossa Dança,Calema
Rádio Comercial,2024-10-26,,Close To You,Gracie Abrams
